id,role,name,team,quotation
7322,C,Ngom,Lecce,1
7248,C,Gorter,Lecce,2
7151,C,Arena,Pisa,1
7025,C,Cuenca H.,Genoa,1
6678,C,Liberali,Milan,1
6677,C,Adzic,Juventus,3
6656,C,Braunoder,Como,1
6618,C,Cissè A.,Verona,1
6506,C,Fini,Genoa,2
2553,C,Alli,Como,1
2076,C,Rog,Cagliari,1
7346,D,Raterink,Cagliari,1
7312,D,Arizala,Udinese,1
7238,D,Kouadio,Fiorentina,1
6885,D,Abdulhamid,Roma,1
6874,D,Palacios T.,Inter,1
6636,D,Veroli,Cagliari,1
5324,D,Godfrey,Atalanta,1
2847,D,Sernicola,Cremonese,1
7363,P,Siviero,Torino,1
7337,P,Motta,Lazio,1
7301,P,Tornqvist,Como,1
7285,P,Ferrante,Napoli,1
7261,P,Cavlina,Como,1
7236,P,Toniolo,Verona,1
7185,P,Nunziante,Udinese,1
7179,P,Israel,Torino,1
7172,P,Pessina Mas.,Bologna,1
7169,P,Zelezny,Roma,1
7042,P,Calligaris,Inter,1
6991,P,Siegrist,Genoa,1
6842,P,Sava,Udinese,1
6813,P,Torriani,Milan,1
6650,P,Sherri,Cagliari,1
6523,P,Samooja,Lecce,1
6505,P,Nava,Cremonese,1
6482,P,Mandas,Lazio,1
6417,P,Furlanetto,Lazio,1
6403,P,Christensen O.,Fiorentina,1
6210,P,Popa,Torino,1
6184,P,Martinelli T.,Fiorentina,1
6125,P,Vasquez D.,Roma,1
5338,P,Rinaldi,Parma,2
5135,P,Guaita,Parma,3
5116,P,Martinez Jo.,Inter,1
4929,P,Ciocci,Cagliari,1
4867,P,Turati,Sassuolo,1
4518,P,Russo A.,Sassuolo,1
2861,P,Semper,Pisa,8
2845,P,Contini,Napoli,1
2815,P,Terracciano,Milan,1
2809,P,Vigorito,Como,1
2401,P,Fruchtl,Lecce,1
2297,P,Rossi F.,Atalanta,1
2271,P,Nicolas,Pisa,1
2211,P,Silvestri,Cremonese,1
2127,P,Satalino,Sassuolo,1
1930,P,Pinsoglio,Juventus,1
1926,P,Di Gennaro,Inter,1
610,P,Gollini,Roma,1
543,P,Padelli,Udinese,3
511,P,Perilli,Verona,2
219,P,Sommariva,Genoa,1
218,P,Perin,Juventus,2
216,P,Donnarumma An.,Torino,1
188,P,Leali,Genoa,10
158,P,Lezzerini,Fiorentina,1
4,P,Sportiello,Atalanta,1
3,P,Radunovic,Cagliari,1
